FID,fstatus,akz,baujahr,fkt_faehig,bemerkung,oart,menge,rechts_w,hoch_w,land,gdb_geomattr_data,shape
wes.68569,1,,,0,Plan Tiefbrunnenbohrung Abstimmung mit LW erfolgt,400,,329922,5782834,100000,,POINT (329922.1799999997 5782834.445900001)
wes.68570,1,,,0,,400,,359963,5863516,100000,,POINT (359962.76860000007 5863515.676100001)
wes.68571,2,,,0,Pumpe über Schlüsselschalter,430,,331929,5767490,100000,,POINT (331929.1557 5767490.290100001)
wes.68572,2,,,3,,470,0,414364,5888484,100000,,POINT (414364 5888484)
wes.68573,2,,,3,,470,,415030,5888291,100000,,POINT (415030.47119999956 5888290.770500001)
wes.68574,2,,,3,,470,,419469,5887299,100000,,POINT (419469.06240000017 5887299.411)
wes.68575,2,Protok. 30-7-2013,,3,,414,0,417669,5886320,100000,,POINT (417669 5886320)
wes.68576,2,,,3,,470,,416737,5887667,100000,,POINT (416737.1542999996 5887666.8519)
wes.68577,2,,,3,Offengewässer,410,,357968,5857305,100000,,POINT (357967.63129999954 5857305.1961)
wes.68578,2,,,3,Offengewässer,410,,349373,5854247,100000,,POINT (349372.5809000004 5854247.4553)
wes.68579,2,,,0,,440,,349173,5849744,100000,,POINT (349173.06819999963 5849744.4341)
wes.68580,2,,,0,,440,,354249,5847364,100000,,POINT (354249.4358000001 5847363.663000001)
wes.68581,2,,,3,,414,,405927,5881980,100000,,POINT (405927.45799999963 5881980.201099999)
wes.68582,2,,,3,10m3 Gesamtvolumen,480,10,454929,5889750,100000,,POINT (454929.4349999996 5889750.1965)
wes.68583,2,,,3,,414,,407556,5881380,100000,,POINT (407555.9835999999 5881379.900800001)
wes.68584,1,,,0,,400,,330323,5766271,100000,,POINT (330322.8822999997 5766270.869200001)
wes.68585,2,,,3,offenes Gewässer,410,0,365041,5871013,100000,,POINT (365041.35479999986 5871012.763599999)
wes.68586,2,,,3,,410,0,362489,5865389,100000,,POINT (362488.7181000002 5865389.009)
wes.68587,2,,,3,Seezugang,410,0,362257,5865372,100000,,POINT (362256.5831000004 5865371.753900001)
wes.68588,2,,,3,"Hydrant H 400, Registriernummer 47 an Waldfläche.",450,,390048,5792158,100000,,POINT (390047.71839999966 5792157.6875)
wes.68589,2,,,3,"Hydrant H 400, Registriernummer 49",450,,390051,5792155,100000,,POINT (390051.0410000002 5792154.6205)
wes.68590,2,,,3,,410,,447091,5795179,100000,,POINT (447091.0582999997 5795179.142000001)
wes.68591,1,,,0,FBG Neuruppin,430,,346750,5871231,100000,,POINT (346750.2467 5871231.184900001)
wes.68592,2,,,3,,450,,441022,5873337,100000,,POINT (441021.5971999997 5873336.869000001)
wes.68593,2,,,3,,430,,448612,5798460,100000,,POINT (448612.10830000043 5798459.8507)
wes.68594,2,,,3,,450,,448983,5799052,100000,,POINT (448982.58499999996 5799051.7776999995)
wes.68595,2,,,3,,414,,422900,5874509,100000,,POINT (422899.95990000013 5874509.324200001)
wes.68596,1,,,1,,430,,346282,5772255,100000,,POINT (346282.0837000003 5772255.3072999995)
wes.68597,2,,,3,,470,80,334479,5781317,100000,,POINT (334478.84889999963 5781316.662900001)
